key,comp_level,set_number,match_number,team_key,a_Proc,start_Pos_5isBlue,a_reefAlgae,a_L1,t_Defense,t_timeFrozen,t_reefAlgae,t_Net,t_Proc,t_L4,t_L3,t_L2,t_L1,a_L3,end_Pos,a_L4,auto_Notes,tele_Notes,endgame_Notes,match_Scouter,a_L2,stuck_on_alg,a_Leave,a_Net,no_show,r1,b2,b3,ba_redscore,ba_bluescore,r2,r3,b1,ba_winning_alliance,ba_autoCoralPoints,ba_autoLineRobot1,ba_autoLineRobot2,ba_autoLineRobot3,ba_autoMobilityPoints,ba_autoPoints,ba_bargeBonusAchieved,ba_coopertitionCriteriaMet,ba_coralBonusAchieved,ba_endGameBargePoints,ba_endGameRobot1,ba_endGameRobot2,ba_endGameRobot3,ba_foulCount,ba_foulPoints,ba_g206Penalty,ba_g410Penalty,ba_g418Penalty,ba_g428Penalty,ba_netAlgaeCount,ba_rp,ba_techFoulCount,ba_teleopCoralCount,ba_teleopCoralPoints,ba_teleopPoints,ba_totalPoints,ba_wallAlgaeCount,ba_adjustPoints,ba_algaePoints,ba_autoBonusAchieved,ba_autoCoralCount,team_number,match_key,alliance,id,selected_for_auto,selected_for_teleop,source
2025pncmp_qm1,qm,1.0,1,frc1778,0.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,0.0,None,2.0,great automode with two coral scored.,very well rounded and versatile robot in terms of scoring coral and algae. efficient elevator mechanism and capable of ground collect.,didn't park and kept on contributing to filling up the reef.,naman,0.0,0.0,1.0,0.0,0.0,frc1778,frc2412,frc9567,234.0,101.0,frc6831,frc2910,frc360,red,44.0,Yes,Yes,Yes,9.0,53.0,1.0,1.0,1.0,16.0,Parked,Parked,DeepCage,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,46.0,133.0,181.0,234.0,2.0,0.0,32.0,1.0,7.0,1778.0,1_qm,red,,auto,teleop,DCMP
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910.0,1_qm,red,,auto,teleop,7034
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6831.0,1_qm,red,,auto,teleop,7034
2025pncmp_qm1,qm,1.0,1,frc360,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,Deep Climb,2.0,Jitters when placing in auto,"very inaccurate, missed over 5+ coral when try to place on L4, slow at collecting ",pretty good at deep climb,Cayden,0.0,0.0,1.0,0.0,0.0,frc1778,frc2412,frc9567,234.0,101.0,frc6831,frc2910,frc360,red,17.0,Yes,Yes,Yes,9.0,26.0,1.0,1.0,0.0,26.0,Parked,DeepCage,DeepCage,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,29.0,75.0,101.0,2.0,0.0,20.0,1.0,3.0,360.0,1_qm,blue,,auto,teleop,DCMP
2025pncmp_qm1,qm,1.0,1,frc2412,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Deep Climb,0.0,For their auto they attempted to only score once on l4. But they missed and the coral did not fall out.,"they were innificent an did not adapt well. They scored once then a coral got stuck and they could not do any more coral, then they played some defense which was not that effective. Then they transitioned back. But their was a time where they were not doing anything. ",They were able to climb they had a lot of time to line up but only climbed last second.,Hendrix Day,0.0,40.0,1.0,0.0,0.0,frc1778,frc2412,frc9567,234.0,101.0,frc6831,frc2910,frc360,red,17.0,Yes,Yes,Yes,9.0,26.0,1.0,1.0,0.0,26.0,Parked,DeepCage,DeepCage,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,29.0,75.0,101.0,2.0,0.0,20.0,1.0,3.0,2412.0,1_qm,blue,,auto,teleop,DCMP
2025pncmp_qm1,qm,1.0,1,frc9567,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,Deep Climb,0.0,"Auto went smoothly, placed one coral and removed one algae","Had consistent working mechanisms, drive pretty slow,had a hard time  rotating at times.","Took about 13 seconds to climb, spent most time lining up, stayed in climb ",Avani Patel,0.0,0.0,1.0,0.0,0.0,frc1778,frc2412,frc9567,234.0,101.0,frc6831,frc2910,frc360,red,17.0,Yes,Yes,Yes,9.0,26.0,1.0,1.0,0.0,26.0,Parked,DeepCage,DeepCage,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,29.0,75.0,101.0,2.0,0.0,20.0,1.0,3.0,9567.0,1_qm,blue,,auto,teleop,DCMP
2025pncmp_qm2,qm,1.0,2,frc948,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,Park,0.0,nothing special with the automode,decent robot with good coral scoring capabilities and fast ground collect.,just parked nothin special. i believe the attempted to climb but ran out of time.,naman,0.0,0.0,1.0,0.0,0.0,frc948,frc3663,frc9442,178.0,215.0,frc5468,frc4043,frc3218,blue,35.0,Yes,Yes,Yes,9.0,44.0,1.0,0.0,1.0,26.0,Parked,DeepCage,DeepCage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,108.0,134.0,178.0,0.0,0.0,0.0,1.0,5.0,948.0,2_qm,red,,auto,teleop,DCMP
2025pncmp_qm2,qm,1.0,2,frc5468,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,0.0,0.0,Deep Climb,3.0,really reliable and smooth,"fast and reliable, able to place everywhere really quickly. Only missed once",Climbed really fast and spent 7 sec in the air,Aarush V,0.0,0.0,1.0,0.0,0.0,frc948,frc3663,frc9442,178.0,215.0,frc5468,frc4043,frc3218,blue,35.0,Yes,Yes,Yes,9.0,44.0,1.0,0.0,1.0,26.0,Parked,DeepCage,DeepCage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,108.0,134.0,178.0,0.0,0.0,0.0,1.0,5.0,5468.0,2_qm,red,,auto,teleop,DCMP
2025pncmp_qm2,qm,1.0,2,frc4043,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,Deep Climb,2.0,"Auto was ok, robot moved slowly but smoothly, placed one coral on l4, collected one from the station, placed on l4, ran out of time to collect a third one.","Mainly focused on coral cycles on level 2 (5 coral), and 2 coral on l4. Placing cycles were somewhat slow, and station collect was unreliable, as it took on average, 3-4 tries to get the coral in the robot. However, placing accuracy was not bad.","Drove to barge early, as it took them around 12 seconds for them to position and deep climb.",Dev Sharma,0.0,0.0,1.0,0.0,0.0,frc948,frc3663,frc9442,178.0,215.0,frc5468,frc4043,frc3218,blue,35.0,Yes,Yes,Yes,9.0,44.0,1.0,0.0,1.0,26.0,Parked,DeepCage,DeepCage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,35.0,108.0,134.0,178.0,0.0,0.0,0.0,1.0,5.0,4043.0,2_qm,red,,auto,teleop,DCMP
2025pncmp_qm2,qm,1.0,2,frc3218,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,Deep Climb,1.0,looked try to remove 2nd algae,"pretty fast at coral cycles, missed 1 L4, ","Very slow at deep cage, climbed at 25sec ",cayden,0.0,0.0,1.0,0.0,0.0,frc948,frc3663,frc9442,178.0,215.0,frc5468,frc4043,frc3218,blue,31.0,Yes,Yes,Yes,9.0,40.0,1.0,0.0,1.0,26.0,DeepCage,DeepCage,Parked,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,39.0,129.0,175.0,215.0,0.0,0.0,20.0,1.0,5.0,3218.0,2_qm,blue,,auto,teleop,DCMP
2025pncmp_qm2,qm,1.0,2,frc9442,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,Park,1.0,"Had a 3 coral auto, one preloaded and placed the other two ground intake from the pre set ones, both ended up slipping out of grabber and not placing. ","Tried to score in barge but ended up missing, had an algae and coral at the same time and was able to eject algae off, Missed 1 coral in total, ground intake and grabber work well in sync togther, fast at placing",continued cycling coral until last 4 ish seconds and the parked,Avani Patel,0.0,0.0,1.0,0.0,0.0,frc948,frc3663,frc9442,178.0,215.0,frc5468,frc4043,frc3218,blue,31.0,Yes,Yes,Yes,9.0,40.0,1.0,0.0,1.0,26.0,DeepCage,DeepCage,Parked,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,39.0,129.0,175.0,215.0,0.0,0.0,20.0,1.0,5.0,9442.0,2_qm,blue,,auto,teleop,DCMP
,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3663.0,2_qm,blue,,auto,teleop,7034
